mode,name,side,sensor_key,ref_cycle_range,target_cycle_range,ref_anchor_scale,ref_anchor_subject,scale_factor,mean_wave_rmse_raw,mean_wave_rmse_corrected,std_wave_rmse_raw,std_wave_rmse_corrected,peak_mean_abs_error_raw,peak_mean_abs_error_corrected,peak_std_abs_error_raw,peak_std_abs_error_corrected,ref_mean_peak_grf_norm,target_mean_peak_grf_norm,ref_mean_peak_fsr_norm,target_mean_peak_fsr_norm,expected_mean_peak_fsr_norm,corrected_mean_peak_fsr_norm
within_subject,S001,left,fsrL2,1-10,72-81,1.0,,0.8494623710672388,0.018338021506854523,0.013920057533868524,0.019334509712874027,0.014599381545529847,0.04035361008762561,0.0014374327841475965,0.005544721156267279,0.014278383748178566,11.701883697509766,11.773211860656739,0.23582089487463237,0.2776119377464056,0.23725832765877997,0.23582089487463237
within_subject,S001,right,fsrR2,1-10,73-82,1.0,S001,1.1844919608084719,0.0349394057942658,0.034099646053207734,0.05943383434801941,0.052566721197515695,0.12231431852751973,0.019329252352058846,0.21745755671922068,0.1968440580725539,11.522222232818603,11.859061241149902,0.6611940294504166,0.5582089632749557,0.6805232818024755,0.6611940294504166
within_subject,S002,left,fsrL2,1-10,68-77,1.0,,0.34426229550245147,0.033839905757694605,0.004682764836346095,0.01242160783571425,0.009544417727171935,0.0978251618719915,0.002174839431860108,0.008769853646503213,0.03302993332129919,11.520788860321044,11.998043441772461,0.052500000782310964,0.15250000208616257,0.05467484021417107,0.052500000782310964
within_subject,S002,right,fsrR2,1-10,68-77,1.4030642517010614,S001,1.1650996089189598,0.051763452029476596,0.047690335652313044,0.016738146170240723,0.01806978293884142,0.0909347819000007,0.002759246358323031,0.003835109484925603,0.015183831332581194,11.945751190185547,11.895900058746339,0.6611940294504166,0.5675000011920929,0.6584347830920936,0.6611940294504166
within_subject,S003,left,fsrL2,1-10,71-80,1.0,,0.0,0.0003774271314866721,0.0,0.0011322813958769692,0.0,0.002985074557363987,0.0,0.008955223672091962,0.0,11.337840270996093,11.106961154937744,0.0,0.002985074557363987,0.0,0.0
within_subject,S003,right,fsrR2,1-10,71-80,1.9601770107071228,S001,1.622710634659703,0.10928797313289217,0.035700617661098555,0.07053289043747697,0.05111093231790864,0.28032008355840093,0.026588737428029807,0.1105958365280299,0.06601278363452874,10.836270236968994,11.272031497955322,0.6611940294504166,0.4074626833200455,0.6877827668784464,0.6611940294504166
within_subject,S004,left,fsrL2,1-10,75-84,1.0,,0.8763736362970872,0.025167601402833462,0.028808183945918792,0.030434603185617665,0.03316105018430325,0.059823181823587146,0.00061266009578681,0.019913994996005296,0.0028150876971844985,11.507044696807862,11.490248680114746,0.41973684802651406,0.4789473697543144,0.41912418793072725,0.41973684802651406
within_subject,S004,right,fsrR2,1-10,75-84,1.0,,1.06779661610684,0.00615993298987369,0.006110948879742121,0.006301371883396257,0.0062831783484326624,0.006612828921233091,0.001349670614753662,0.029363587684168375,0.027795488022821876,11.593231582641602,11.781989574432373,0.0828947365283966,0.07763157822191716,0.08424440714315025,0.08289473652839659
within_subject,S005,left,fsrL2,1-10,81-90,1.0,,nan,0.003498944562240313,nan,0.010496833369729815,nan,0.016906077028955652,nan,0.05071823108686696,nan,11.731162452697754,11.106364154815674,0.01785714328289032,0.0,0.016906077028955652,nan
within_subject,S005,right,fsrR2,1-10,81-90,1.0,,1.4556451430214756,0.05804230753804501,0.04908067541711329,0.05608729378943815,0.05994055350577859,0.16429677550261335,0.03748893122608343,0.08710682039094175,0.2529721385521491,12.628376770019532,11.893978881835938,0.6446428507566452,0.4428571440279484,0.6071539195305617,0.6446428507566452
within_subject,S006,left,fsrL2,1-10,76-85,1.0,,0.9045643093866909,0.036053991685725484,0.027801734238277066,0.020802938158114903,0.020611518349022803,0.03166352821202245,0.0017933966001983936,0.004459718979987461,0.00873348729743191,11.390752124786378,11.31859769821167,0.28311688005924224,0.3129870116710663,0.28132348345904384,0.28311688005924224
within_subject,S006,right,fsrR2,1-10,76-85,1.0,,0.7848101125731338,0.045056678971616936,0.03582911950638935,0.03486661317067405,0.03588851518191172,0.10613263879536278,0.004256979780210168,0.01166965343631815,0.02615081182232011,11.742658710479736,11.866823101043702,0.4025973990559578,0.5129870176315308,0.406854378836168,0.4025973990559578
within_subject,S007,left,fsrL2,1-10,82-91,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.915898609161378,12.288505458831787,0.0,0.0,0.0,0.0
within_subject,S007,right,fsrR2,1-10,82-91,1.0,,1.439560449909018,0.015246836591383605,0.016778534337389475,0.017835162269395098,0.017107655449950767,0.06649172737137549,0.010153698761622837,0.05960036172979688,0.05155207171247065,11.462064838409423,12.092839431762695,0.1845070406794548,0.12816901206970216,0.19466073944107765,0.1845070406794548
within_subject,S008,left,fsrL2,1-10,74-83,1.0,,0.8684210698173579,0.08392137423225078,0.0440446261720006,0.061291904558688985,0.0680138724321071,0.13302016388939042,0.018295602683561896,0.13282913138685656,0.13655846727031457,11.36085786819458,11.56898546218872,0.9986842095851898,1.149999976158142,1.0169798122687517,0.9986842095851898
within_subject,S008,right,fsrR2,1-10,74-83,1.0,,0.7522387940221335,0.05249622498827883,0.02510956910706263,0.022901950481223374,0.027391607723184164,0.09470999686783771,0.014500536035833567,0.03431174835334469,0.05361203544441044,11.068165588378907,11.55219612121582,0.3315789461135864,0.4407894790172577,0.34607948214941997,0.3315789461135864
