mode,name,side,scale_factor,mean_wave_rmse_raw,mean_wave_rmse_corrected,std_wave_rmse_raw,std_wave_rmse_corrected,peak_mean_abs_error_raw,peak_mean_abs_error_corrected,peak_std_abs_error_raw,peak_std_abs_error_corrected,ref_mean_peak_grf_norm,target_mean_peak_grf_norm,ref_mean_peak_fsr_norm,target_mean_peak_fsr_norm,expected_mean_peak_fsr_norm,corrected_mean_peak_fsr_norm
within_subject,S001,left,0.9396505001045214,0.08124809136084463,0.04986947899040543,0.11179694514867136,0.11293540627225161,0.18275990414497478,0.0,0.14794456843821768,0.12779759952281278,11.701883697509766,11.773211860656739,2.828358221054077,3.028358221054077,2.8455983169091024,2.8455983169091024
within_subject,S001,right,1.0522827605417646,0.17722774182846907,0.17854478448741726,0.11044227289385077,0.10329234586295379,0.28224887488946493,0.0,0.07233167636238702,0.09860966581970143,11.522222232818603,11.859061241149902,5.519402933120728,5.398507499694825,5.6807563745842895,5.6807563745842895
within_subject,S002,left,1.040107253485473,0.06564988401697695,0.070129242929404,0.07991768807605197,0.07798384323510796,0.03960591281690462,0.0,0.03751496044961572,0.048281536398797564,11.520788860321044,11.998043441772461,0.9862500011920929,0.9875,1.0271059128169047,1.0271059128169047
within_subject,S002,right,1.235165328052195,0.3963818551843422,0.20584853344125684,0.2244802498721386,0.19717755703184062,0.65434752081981,0.0,0.16592734509266044,0.07234749852549943,11.945751190185547,11.895900058746339,3.4512500047683714,2.782499980926514,3.436847501746324,3.436847501746324
within_subject,S003,left,1.2658739260729626,0.12183131367475436,0.11063037655585597,0.054305009751064066,0.058399666793742935,0.2539691222539959,0.0,0.05881218134295024,0.11961867900549938,11.337840270996093,11.106961154937744,1.2343283534049987,0.9552238762378693,1.2091929984918652,1.2091929984918652
within_subject,S003,right,1.0388293290698571,0.3144986361076889,0.3056658476854349,0.08145077287011837,0.07996243849305966,0.13068677144384377,0.0,0.2567672869504468,0.2449149763688087,10.836270236968994,11.272031497955322,3.3611939907073975,3.3656716346740723,3.496358406117916,3.496358406117916
within_subject,S004,left,1.0343965550399732,0.12646656781425827,0.1449322316347929,0.09322912486426259,0.09214490847168956,0.08318535288983364,4.440892098500626e-16,0.12457628006731244,0.13458201892367264,11.507044696807862,11.490248680114746,2.505263161659241,2.4184210538864135,2.501606406776247,2.5016064067762476
within_subject,S004,right,0.9660329399478459,0.07315047409605352,0.05661549510254283,0.08162768056346274,0.0816078689891875,0.07231408381431326,4.440892098500626e-16,0.023959892876371458,0.001958339262024822,11.593231582641602,11.781989574432373,2.0236842036247253,2.128947389125824,2.056633305311511,2.0566333053115105
within_subject,S005,left,1.078785641465577,0.29373776989448935,0.22268284545628186,0.145085339061729,0.12780759921391974,0.32077011463304306,0.0,0.09706440376842096,0.053930083493836545,11.731162452697754,11.106364154815674,4.639285731315613,4.071428608894348,4.392198723527391,4.392198723527391
within_subject,S005,right,0.8939283524033178,0.7101641434998838,0.5280252654262694,0.5511021789703878,0.454891424213043,0.6813209228748169,8.881784197001252e-16,0.06924593729042638,0.04145998701520892,12.628376770019532,11.893978881835938,6.09642858505249,6.423214292526245,5.741893369651428,5.741893369651429
within_subject,S006,left,0.9833875092752568,0.2159325538226692,0.20668850178157447,0.09621792292992548,0.09416013764516591,0.05840261240031808,4.440892098500626e-16,0.1639761780524447,0.1497682998614348,11.390752124786378,11.31859769821167,3.4792207717895507,3.515584349632263,3.457181737231945,3.4571817372319447
within_subject,S006,right,0.9969994452430877,0.1910195888322175,0.18866446297872838,0.12144403302051099,0.12178652878710748,0.01102411622858801,4.440892098500626e-16,0.38871200540120876,0.38953023640822004,11.742658710479736,11.866823101043702,3.6246753454208376,3.6740260124206543,3.6630018961920663,3.663001896192066
within_subject,S007,left,1.302290732990008,0.13687316237188268,0.07627331852960263,0.0637558062283763,0.0498151283499862,0.3159151056023659,0.0,0.20451062563492484,0.1517505330675981,11.915898609161378,12.288505458831787,1.3197183072566987,1.0450704276561738,1.3609855332585397,1.3609855332585397
within_subject,S007,right,1.0847727314186029,0.13394679004174165,0.10457113621368332,0.06307006021806377,0.06227144260477923,0.1609487918948478,0.0,0.03260490282854331,0.05032900384575803,11.462064838409423,12.092839431762695,1.9521126627922059,1.8985915541648866,2.0595403460597344,2.0595403460597344
within_subject,S008,left,0.9655885135460661,0.44445674919475037,0.46115980895578845,0.26863810651759357,0.28083549374207323,0.28068000509419555,8.881784197001252e-16,0.24982743980129474,0.2594226903060011,11.36085786819458,11.56898546218872,7.734210443496704,8.156578922271729,7.875898917177533,7.875898917177532
within_subject,S008,right,1.0361465237658178,0.34684772372131734,0.32146662735112924,0.15219584341420123,0.14750727624014953,0.13088846382533958,4.440892098500626e-16,0.061194065804133446,0.04287737904467004,11.068165588378907,11.55219612121582,3.594736838340759,3.621052598953247,3.7519410627785867,3.751941062778587
