experiment,test_subject,test_mae,test_rmse,test_huber,n_params,model_size_mb,host_latency_ms,host_max_freq_hz,metric_source
exp_S2A6F_ctrl_teacher_kinpower,m2_S001,1.9811408519744873,2.529062271118164,2.0381576776504517,224072,0.8548,2.3603,423.68,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S002,2.195709466934204,2.822354316711426,2.2780799249917765,224072,0.8548,2.3515,425.27,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S003,3.7975683212280273,6.979098796844482,2.639573882379439,224072,0.8548,2.4337,410.89,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S004,2.8436310291290283,3.457224130630493,2.9374061424464464,224072,0.8548,2.5803,387.55,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S005,2.6882057189941406,3.4330053329467773,2.369571669925031,224072,0.8548,2.4401,409.82,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S006,2.515984535217285,3.134059190750122,2.422816803885831,224072,0.8548,2.5047,399.25,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S007,3.1208653450012207,4.029190540313721,2.3498356166392265,224072,0.8548,1.8315,546.0,metrics_json_fallback
exp_S2A6F_ctrl_teacher_kinpower,m2_S008,1.952374815940857,2.470097303390503,2.4630216974200625,224072,0.8548,1.8637,536.57,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S001,2.1685454845428467,2.7561075687408447,2.072264261072195,22720,0.0867,2.1512,464.86,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S002,2.2256221771240234,2.8709020614624023,2.3517070528897612,22720,0.0867,2.4688,405.05,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S003,3.595677614212036,6.850222110748291,2.5691885246042294,22720,0.0867,2.2892,436.84,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S004,2.660393476486206,3.2662718296051025,2.8710828908580415,22720,0.0867,2.2008,454.37,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S005,2.838615655899048,3.612351179122925,2.334628251194954,22720,0.0867,2.3139,432.17,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S006,2.4651143550872803,3.0784664154052734,2.366844082700795,22720,0.0867,1.9669,508.41,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S007,2.9762256145477295,3.872758388519287,2.267461343606313,22720,0.0867,2.447,408.67,metrics_json_fallback
exp_S2A6F_tiny_kinpower_w100,m2_S008,2.1450867652893066,2.7274975776672363,2.5079213538297442,22720,0.0867,2.182,458.29,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S001,2.3053534030914307,2.929326057434082,2.07575644496121,23597,0.09,3.5393,282.54,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S002,2.2654688358306885,2.9297752380371094,2.3369864402236518,23597,0.09,2.6255,380.87,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S003,3.9218719005584717,7.1391472816467285,2.7021299299684545,23597,0.09,3.3366,299.71,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S004,2.940916061401367,3.643430709838867,2.859224868898696,23597,0.09,3.7435,267.13,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S005,2.7095108032226562,3.499821186065674,2.368772447322096,23597,0.09,3.7343,267.79,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S006,2.504223108291626,3.119861125946045,2.392624490836571,23597,0.09,2.5165,397.37,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S007,2.7819812297821045,3.8349907398223877,2.2196691568692524,23597,0.09,2.5871,386.54,metrics_json_fallback
exp_S2A6F_tiny_loadgate_kinpower_w100_smooth,m2_S008,2.15891170501709,2.737603187561035,2.536111496363994,23597,0.09,1.9528,512.09,metrics_json_fallback
