kind,value,mean_mae,best_mae,n
family,bf_full,0.037138736289408475,0.028063172474503517,18
family,bf_lite,0.03427309656722678,0.026217145845294,18
family,dual_full,0.035358042249249086,0.027076907455921173,18
family,dualsoft_full,0.04198548218442334,0.028863534331321716,18
family,fusionimu_full,0.03494233110298713,0.02621900662779808,18
family,fusionimu_lite,0.03091466012928221,0.026030296459794044,18
family,imuint_full,0.03546537758989467,0.024422435089945793,18
family,imuint_lite,0.037421192352970443,0.02698829583823681,18
family,raw_full,0.031226397181550663,0.02438955381512642,18
family,raw_lite,0.0351398985625969,0.026362759992480278,18
lpf,glpf8,0.03413327901313702,0.026217145845294,60
lpf,none,0.03474505289147298,0.024422435089945793,60
lpf,pglpf,0.03728123235826691,0.02438955381512642,60
size,base,0.03324937514132924,0.02438955381512642,90
size,compact,0.0375236677005887,0.02463717758655548,90
window,150,0.03720738009239236,0.02633383311331272,60
window,200,0.03321317307030161,0.02438955381512642,60
window,300,0.03573901110018293,0.02463717758655548,60
