exp_name,experiment_dir,test_mae,png_count,pngs
exp_S3A1_G009_raw_full_w200_base_pglpf,exp_S3A1_G009_raw_full_w200_base_pglpf_Test-m2_S008_seed42,0.02438955381512642,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G079_imuint_full_w200_base_none,exp_S3A1_G079_imuint_full_w200_base_none_Test-m2_S008_seed42,0.024422435089945793,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G081_imuint_full_w200_base_pglpf,exp_S3A1_G081_imuint_full_w200_base_pglpf_Test-m2_S008_seed42,0.024524925276637077,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G004_raw_full_w300_compact_none,exp_S3A1_G004_raw_full_w300_compact_none_Test-m2_S008_seed42,0.02463717758655548,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G130_fusionimu_lite_w300_compact_none,exp_S3A1_G130_fusionimu_lite_w300_compact_none_Test-m2_S008_seed42,0.026030296459794044,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G062_bf_lite_w200_base_glpf8,exp_S3A1_G062_bf_lite_w200_base_glpf8_Test-m2_S008_seed42,0.026217145845294,6,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|training_curves.png
exp_S3A1_G110_fusionimu_full_w300_base_glpf8,exp_S3A1_G110_fusionimu_full_w300_base_glpf8_Test-m2_S008_seed42,0.02621900662779808,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G014_raw_full_w150_base_glpf8,exp_S3A1_G014_raw_full_w150_base_glpf8_Test-m2_S008_seed42,0.02633383311331272,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G021_raw_lite_w300_base_pglpf,exp_S3A1_G021_raw_lite_w300_base_pglpf_Test-m2_S008_seed42,0.026362759992480278,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
exp_S3A1_G063_bf_lite_w200_base_pglpf,exp_S3A1_G063_bf_lite_w200_base_pglpf_Test-m2_S008_seed42,0.02637610211968422,8,m2_S008_accel_sine.png|m2_S008_decline_5deg.png|m2_S008_incline_10deg.png|m2_S008_level_075mps.png|m2_S008_level_100mps.png|m2_S008_level_125mps.png|m2_S008_stopandgo.png|training_curves.png
