feature,importance
mocap/kin_q/hip_flexion_r_dot,0.0872235
forceplate/grf/right/y,0.067276
mocap/kin_q/hip_flexion_l_dot,0.059211038
forceplate/grf/left/y,0.036341287
robot/back_imu/vel_forward,0.032808118
forceplate/grf/right/z,0.020353472
forceplate/grf/left/z,0.017088568
mocap/kin_q/ankle_angle_r,0.015276851
mocap/kin_q/hip_flexion_r,0.013164366
robot/back_imu/yaw,0.012903931
mocap/kin_q/ankle_angle_r_dot,0.011253795
mocap/kin_q/knee_angle_r_dot,0.0106938165
mocap/kin_q/ankle_angle_l_dot,0.010502225
mocap/kin_q/knee_angle_l_dot,0.0100717675
mocap/kin_q/hip_flexion_l,0.009036006
mocap/kin_q/ankle_angle_r_ddot,0.0077933017
mocap/kin_q/ankle_angle_l,0.007121509
mocap/kin_q/knee_angle_l_ddot,0.0067674294
mocap/kin_q/hip_flexion_r_ddot,0.004810976
mocap/kin_q/knee_angle_r_ddot,0.0046343002
mocap/kin_q/knee_angle_l,0.004363762
mocap/kin_q/ankle_angle_l_ddot,0.0038594324
mocap/kin_q/knee_angle_r,0.0036963504
forceplate/grf/right/x,0.00266313
forceplate/grf/left/x,0.002256509
robot/back_imu/pitch,0.0021239668
mocap/kin_q/hip_flexion_l_ddot,0.0020486638
robot/left/torque,0.00038167462
robot/right/torque,0.00024240464
sub_info/weight,-9.313226e-09
sub_info/height,-9.313226e-09
forceplate/grf/left/contact_l,-1.0672957e-06
forceplate/grf/right/contact_r,-4.048273e-05
robot/back_imu/roll,-0.00021755323
