feature,mean_importance,std_importance,median_importance,min_importance,max_importance,abs_mean_importance
Robot_R_Hip_angle_Linvel,0.02342316386417811,0.007084228520936408,0.02241056813504325,0.0155207796661897,0.0362727472652217,0.02342316386417811
Robot_R_Hip_angle,0.019870352979203,0.005609491224255021,0.0196877329639928,0.011960662740409,0.0301299020734582,0.019870352979203
Robot_L_Hip_angle,0.01921798153376744,0.005310930384417069,0.0192754374322492,0.0094706496726128,0.0285054797999298,0.01921798153376744
Robot_L_Hip_angle_Linvel,0.015293996777951686,0.006826565704220642,0.0142243089447643,0.0080711889590824,0.0304561456219235,0.015293996777951686
tilt_tvcf_imu_2d_og_acc_up,0.004682929190640088,0.0042883724539715526,0.0043080253239527,-0.0001690382571575,0.0109264764878618,0.004682929190640088
tilt_tvcf_summary_2d_og_acc_h_mag,0.0014161782507890125,0.0009440289162553304,0.00118164597437955,0.0002884231794818,0.0033623467260344,0.0014161782507890125
tilt_tvcf_imu_2d_og_gyro_up,0.0012908903420340875,0.0012032893349223919,0.0015960513449537,-0.0010690648430081,0.0028616429523407,0.0012908903420340875
tilt_tvcf_imu_2d_og_roll_cf,0.0012248057745988744,0.0013022693622419818,0.00159118681521285,-0.0013596156655718,0.0024747151263694,0.0012248057745988744
Robot_cadence_mean,0.00093944814193435,0.0015296220457384597,0.00103584385634565,-0.0018526160088016,0.0034954871426974,0.00093944814193435
tilt_tvcf_imu_2d_og_pitch_cf,0.0007548916411400125,0.0011277807552806654,0.0009131761717062001,-0.000890533073214,0.0021476172578444,0.0007548916411400125
tilt_tvcf_imu_2d_og_acc_hx,0.0004106540897848625,0.0010149302225671293,0.00023822133075225002,-0.0006390853181256,0.0025598072401642,0.0004106540897848625
Robot_speed_anchor_geom,0.0002569471446327625,0.0012874216250796178,0.0004579488218448,-0.0015864829659162,0.0019505618043381,0.0002569471446327625
tilt_tvcf_imu_2d_og_gyro_hx,-0.00016914643475962236,0.0007089043609630965,2.0342366535910574e-05,-0.0016632095444167,0.000670826404513,0.00016914643475962236
tilt_tvcf_summary_2d_og_vel_h_mag,9.025097335180422e-05,0.00013200916976642234,7.479571810669206e-05,-7.380734835837205e-05,0.0003071776513241,9.025097335180422e-05
tilt_tvcf_imu_2d_og_gyro_hy,8.94918765208021e-05,0.0018075873464814055,0.0004935275267191583,-0.0025712123334133,0.0019656862129131,8.94918765208021e-05
tilt_tvcf_imu_2d_og_acc_hy,3.4826302957825474e-05,0.0007672524504228935,0.00030887262112575,-0.0012120386919434,0.0007710511251734,3.4826302957825474e-05
tilt_tvcf_velocity_2d_og_vel_hx,1.3539901118675833e-05,6.271058734307198e-05,1.5263687476041107e-05,-9.76479495290554e-05,0.0001089912684793,1.3539901118675833e-05
tilt_tvcf_velocity_2d_og_vel_hy,-5.080706870478453e-06,0.00011123906044193786,-1.865062079512477e-05,-0.0001727545593351,0.0001762889562739,5.080706870478453e-06
