model,condition,level,signed_bias,steady_plateau_bias,steady_plateau_mae,onset_error,decay_error,trough_error_p05
P6,level_100mps,lv4,-0.00246593,-0.00283409,0.01180675,0.01862628,0.01842738,-0.02728192
P6,level_100mps,lv7,-0.00380949,-0.00384428,0.01140443,-0.01486153,0.01099034,-0.02510468
P6,level_125mps,lv4,0.00550679,0.00556257,0.01385619,-0.01053233,0.01495651,-0.02272027
P6,level_125mps,lv7,0.00333956,0.00344763,0.01229438,-0.02589247,0.01866022,-0.02286112
P4,level_100mps,lv4,-0.00198988,-0.00212818,0.01070050,0.02581662,-0.01272955,-0.02448078
P4,level_100mps,lv7,-0.00093583,-0.00089882,0.00987944,0.00594821,-0.01192482,-0.02131572
P4,level_125mps,lv4,-0.00015324,-0.00006497,0.01057729,0.01769017,-0.02410188,-0.02319899
P4,level_125mps,lv7,0.00130367,0.00137599,0.00943380,0.00415149,-0.00741430,-0.01785206
P7,level_100mps,lv4,-0.00860379,-0.00904489,0.01355891,0.05513003,-0.01952966,-0.03276269
P7,level_100mps,lv7,-0.00831155,-0.00821931,0.01298513,0.00724414,-0.03414055,-0.03087999
P7,level_125mps,lv4,-0.00265426,-0.00265483,0.01281508,0.02254821,-0.02528593,-0.02967906
P7,level_125mps,lv7,-0.00122412,-0.00114195,0.01123784,0.02031576,-0.02662457,-0.02526066
R1,level_100mps,lv4,0.00000811,-0.00008864,0.01315157,0.01498790,-0.00332312,-0.02723196
R1,level_100mps,lv7,-0.00518805,-0.00502551,0.01226962,-0.01467291,-0.01470943,-0.02928388
R1,level_125mps,lv4,-0.00210524,-0.00183267,0.01219696,-0.00279369,-0.02584820,-0.02855098
R1,level_125mps,lv7,-0.00433493,-0.00412719,0.01016141,-0.00928048,-0.01826607,-0.02527647
P8,level_100mps,lv4,0.01724961,0.01683369,0.02281336,0.05213726,0.03051428,-0.02008272
P8,level_100mps,lv7,0.00997197,0.01035438,0.02007129,-0.04728129,0.02165117,-0.02455348
P8,level_125mps,lv4,0.00291152,0.00359842,0.01971921,-0.01037580,-0.04652523,-0.03913004
P8,level_125mps,lv7,0.00823199,0.00911847,0.01873576,-0.04103383,-0.02737720,-0.03045201

